奮,607
奪,608
確,609
午,610
許,611
歓,612
権,613
観,614
羽,615
習,616
翌,617
曜,618
濯,619
曰,620
困,621
固,622
錮,623
国,624
団,625
因,626
姻,627
咽,628
園,629
回,630
壇,631
店,632
庫,633
庭,634
庁,635
床,636
麻,637
磨,638
心,639
忘,640
恣,641
忍,642
認,643
忌,644
志,645
誌,646
芯,647
忠,648
串,649
患,650
思,651
恩,652
応,653
意,654
臆,655
想,656
息,657
憩,658
恵,659
恐,660
惑,661
感,662
憂,663
寡,664
忙,665
悦,666
恒,667
悼,668
悟,669
怖,670
慌,671
悔,672
憎,673
慣,674
愉,675
惰,676
慎,677
憾,678
憶,679
惧,680
憧,681
憬,682
慕,683
添,684
必,685
泌,686
手,687
看,688
摩,689
我,690
義,691
議,692
犠,693
抹,694
拭,695
拉,696
抱,697
搭,698
抄,699
抗,700
批,701
招,702
拓,703
拍,704
打,705
拘,706
捨,707
拐,708
摘,709
挑,710
指,711
持,712
拶,713
括,714
揮,715
推,716
揚,717
提,718
損,719
拾,720
担,721
拠,722
描,723
操,724
接,725
掲,726
掛,727
捗,728
研,729
戒,730
弄,731
械,732
鼻,733
刑,734
型,735
才,736
財,737
材,738
存,739
在,740
乃,741
携,742
及,743
吸,744
扱,745
丈,746
史,747
吏,748
更,749
硬,750
梗,751
又,752
双,753
桑,754
隻,755
護,756
獲,757
奴,758
怒,759
友,760
抜,761
投,762
没,763
股,764
設,765
撃,766
殻,767
支,768
技,769
枝,770
肢,771
茎,772
怪,773
軽,774
叔,775
督,776
寂,777
淑,778
反,779
坂,780
板,781
返,782
販,783
爪,784
妥,785
乳,786
浮,787
淫,788
将,789
奨,790
采,791
採,792
菜,793
受,794
授,795
愛,796
曖,797
払,798
広,799
勾,800
拡,801
鉱,802
弁,803
雄,804
台,805
怠,806
治,807
冶,808
始,809
胎,810
窓,811
去,812
法,813
会,814
至,815
室,816
到,817
致,818
互,819
棄,820
育,821
撤,822
充,823
銃,824
硫,825
流,826
允,827
唆,828
出,829
山,830
拙,831
岩,832
炭,833
岐,834
峠,835
崩,836
密,837
蜜,838
嵐,839
崎,840
崖,841
入,842
込,843
分,844
貧,845
頒,846
公,847
松,848
翁,849
訟,850
